Date,Average humidity (%),Rainfall for month (in),Maximum rain per minute,Maximum humidity (%),Minimum humidity (%)
2009/4/19,58,1.3,0,91,30
2009/4/20,38,1.3,0,56,25
2009/4/21,35,1.3,0,68,18
2009/4/22,48,1.3,0,83,17
2009/4/23,35,1.3,0,70,12
2009/4/24,38,1.3,0,76,18
2009/4/25,90,1.42,0,93,77
2009/4/26,60,1.58,0,94,35
2009/4/27,80,1.8,0,92,35
2009/4/28,60,1.8,0,89,23
2009/4/29,30,1.8,0,65,9
2009/4/30,63,1.8,0,79,41
2009/5/1,87,0.07,0,94,73
2009/5/2,89,0.35,0,94,66
2009/5/3,69,0.41,0,94,36
2009/5/4,50,0.41,0,88,22
2009/5/5,51,0.49,0,87,31
2009/5/6,37,0.49,0,85,15
2009/5/7,30,0.49,0,50,14
2009/5/8,34,0.49,0,52,15
2009/5/9,54,0.61,0,90,33
2009/5/10,87,0.8,0,93,72
2009/5/11,59,0.8,0,92,13
2009/5/12,38,0.8,0,79,12
2009/5/13,23,0.8,0,31,13
2009/5/14,32,0.8,0,60,16
2009/5/15,40,0.8,0,62,15
2009/5/16,57,0.8,0,80,35
2009/5/17,44,0.8,0,83,16
2009/5/18,35,0.8,0,74,9
2009/5/19,32,0.8,0,55,15
2009/5/20,35,0.8,0,52,24
2009/5/21,72,0.8,0,93,45
2009/5/22,67,0.86,0,94,38
2009/5/23,83,1.07,0,93,69
2009/5/24,80,1.16,0,93,59
2009/5/25,68,1.53,0,92,43
2009/5/26,74,1.6,0,92,44
2009/5/27,60,1.62,0,93,21
2009/5/28,60,1.66,0,90,23
2009/5/29,56,1.66,0,89,22
2009/5/30,58,1.68,0,78,27
2009/5/31,52,1.68,0,78,24
2009/6/1,77,0.13,0,92,51
2009/6/2,88,0.24,0,93,72
2009/6/3,75,0.26,0,91,39
2009/6/4,51,0.26,0,84,14
2009/6/5,53,0.26,0,89,17
2009/6/6,23,0.27,0,46,14
2009/6/7,47,0.27,0,78,20
2009/6/8,75,0.33,0,91,36
2009/6/9,65,0.33,0,93,27
2009/6/10,69,0.64,0,92,29
2009/6/11,72,0.75,0,93,37
2009/6/12,70,0.8,0,93,37
2009/6/13,56,0.8,0,85,20
2009/6/14,52,0.81,0,82,18
2009/6/15,68,0.92,0,93,32
2009/6/16,66,0.93,0,93,18
2009/6/17,50,0.93,0,87,18
2009/6/18,39,0.93,0,69,19
2009/6/19,44,0.93,0,61,27
2009/6/20,70,0.98,0,92,49
2009/6/21,41,0.98,0,75,19
2009/6/22,52,0.98,0,89,14
2009/6/23,60,1.01,0,93,22
2009/6/24,53,1.01,0,88,19
2009/6/25,66,1.3,0,88,31
2009/6/26,62,1.42,0,92,32
2009/6/27,43,1.42,0,70,14
2009/6/28,56,1.42,0,92,27
2009/6/29,49,1.43,0,86,16
2009/6/30,37,1.43,0,74,11
2009/7/1,46,0.04,0,91,15
2009/7/2,75,0.29,0,94,41
2009/7/3,68,0.39,0,92,39
2009/7/4,79,0.78,0,92,58
2009/7/5,75,0.78,0,95,47
2009/7/6,56,0.78,0,94,20
2009/7/7,51,0.78,0,82,13
2009/7/8,43,0.78,0,93,12
2009/7/9,55,0.78,0,86,28
2009/7/10,55,0.78,0,87,13
2009/7/11,49,0.78,0,87,14
2009/7/12,43,0.78,0,74,27
2009/7/13,54,0.8,0,88,21
2009/7/14,35,0.81,0,69,13
2009/7/15,37,0.81,0,77,9
2009/7/16,34,0.81,0,67,10
2009/7/17,38,0.81,0,67,13
2009/7/18,58,0.81,0,88,30
2009/7/19,43,0.81,0,87,14
2009/7/20,34,0.81,0,80,14
2009/7/21,74,0.82,0,89,47
2009/7/22,64,1.18,0,91,21
2009/7/23,51,1.25,0,86,20
2009/7/24,44,1.25,0,77,14
2009/7/25,72,1.7,0,93,51
2009/7/26,73,1.7,0,95,39
2009/7/27,72,1.88,0,93,42
2009/7/28,81,2.01,0,94,62
2009/7/29,88,2.25,0,94,64
2009/7/30,86,2.35,0,94,67
2009/7/31,66,2.37,0,95,24
2009/8/1,64,0.01,0,94,22
2009/8/2,39,0.01,0,82,13
2009/8/3,38,0.01,0,72,13
2009/8/4,51,0.06,0,74,15
2009/8/5,56,0.3,0,89,24
2009/8/6,73,0.3,0,93,27
2009/8/7,48,0.3,0,94,13
2009/8/8,30,0.3,0,62,11
2009/8/9,53,0.3,0,79,17
2009/8/10,57,0.3,0,91,20
2009/8/11,41,0.3,0,76,14
2009/8/12,31,0.3,0,64,9
2009/8/13,35,0.3,0,62,15
2009/8/14,53,0.36,0,82,38
2009/8/15,41,0.37,0,58,22
2009/8/16,48,0.37,0,65,17
2009/8/17,67,0.4,0,89,31
2009/8/18,53,0.4,0,93,19
2009/8/19,36,0.4,0,64,20
2009/8/20,50,0.4,0,85,24
2009/8/21,46,0.4,0,86,20
2009/8/22,38,0.4,0,76,11
2009/8/23,36,0.4,0,56,15
2009/8/24,43,0.42,0,86,23
2009/8/25,78,0.73,0,94,43
2009/8/26,69,0.76,0,94,27
2009/8/27,48,0.76,0,92,15
2009/8/28,49,0.76,0,82,26
2009/8/29,60,0.76,0,87,25
2009/8/30,72,0.82,0,93,47
2009/8/31,54,0.82,0,87,16
2009/9/1,40,0,0,89,11
2009/9/2,29,0,0,49,12
2009/9/3,44,0.02,0,77,21
2009/9/4,59,0.03,0,84,20
2009/9/5,44,0.03,0,83,21
2009/9/6,52,0.05,0,72,27
2009/9/7,44,0.05,0,91,20
2009/9/8,23,0.05,0,28,16
2009/9/9,56,0.08,0,91,17
2009/9/10,46,0.08,0,90,15
2009/9/11,42,0.08,0,72,17
2009/9/12,75,0.17,0,92,55
2009/9/13,70,0.2,0,94,25
2009/9/14,53,0.2,0,88,28
2009/9/15,55,0.2,0,80,34
2009/9/16,71,0.2,0,91,51
2009/9/17,64,0.2,0,93,34
2009/9/18,59,0.2,0,92,32
2009/9/19,52,0.2,0,83,16
2009/9/20,48,0.2,0,73,25
2009/9/21,67,0.45,0,92,38
2009/9/22,51,0.45,0,73,40
2009/9/23,55,0.46,0,90,27
2009/9/24,74,0.52,0,92,38
2009/9/25,68,0.52,0,92,24
2009/9/26,23,0.52,0,40,14
2009/9/27,26,0.52,0,67,12
2009/9/28,57,0.52,0,88,27
2009/9/29,32,0.52,0,81,10
2009/9/30,40,0.56,0,70,21
2009/10/1,37,0,0,52,27
2009/10/2,26,0,0,45,10
2009/10/3,45,0,0,78,19
2009/10/4,77,0.14,0,93,43
2009/10/5,66,0.18,0,94,36
2009/10/6,30,0.18,0,47,17
2009/10/7,29,0.18,0,55,17
2009/10/8,83,0.29,0,91,47
2009/10/9,77,0.33,0,91,45
2009/10/10,80,0.37,0,87,69
2009/10/11,77,0.42,0,92,41
2009/10/12,69,0.47,0,93,24
2009/10/13,66,0.47,0,94,30
2009/10/14,51,0.47,0,80,30
2009/10/15,49,0.48,0,79,27
2009/10/16,51,0.48,0,86,19
2009/10/17,57,0.48,0,91,21
2009/10/18,25,0.48,0,41,16
2009/10/19,40,0.48,0,71,18
2009/10/20,75,0.61,0,93,33
2009/10/21,89,0.64,0,93,77
2009/10/22,65,0.65,0,92,28
2009/10/23,41,0.65,0,68,23
2009/10/24,47,0.7,0,87,27
2009/10/25,73,0.7,0,89,33
2009/10/26,40,0.7,0,84,14
2009/10/27,47,0.7,0,92,19
2009/10/28,84,0.7,0,92,67
2009/10/29,66,0.7,0,85,47
2009/10/30,49,0.75,0,56,41
2009/10/31,43,0.77,0,58,26
2009/11/1,39,0,0,59,27
2009/11/2,60,0,0,86,31
2009/11/3,30,0,0,63,13
2009/11/4,39,0,0,82,11
2009/11/5,17,0,0,34,10
2009/11/6,21,0,0,95,11
2009/11/7,26,0,0,40,11
2009/11/8,37,0,0,64,19
2009/11/9,58,0,0,80,33
2009/11/10,47,0,0,83,16
2009/11/11,27,0,0,43,17
2009/11/12,29,0,0,48,22
2009/11/13,79,0.03,0,92,45
2009/11/14,85,0.06,0,90,67
2009/11/15,83,0.32,0,89,65
2009/11/16,72,0.37,0,88,40
2009/11/17,69,0.38,0,89,27
2009/11/18,48,0.38,0,88,16
2009/11/19,53,0.38,0,85,26
2009/11/20,47,0.38,0,86,10
2009/11/21,25,0.38,0,78,9
2009/11/22,36,0.38,0,79,15
2009/11/23,40,0.38,0,78,28
2009/11/24,29,0.38,0,45,15
2009/11/25,38,0.38,0,57,26
2009/11/26,23,0.38,0,42,14
2009/11/27,14,0.38,0,23,6
2009/11/28,43,0.38,0,86,15
2009/11/29,71,0.38,0,89,36
2009/11/30,47,0.39,0,85,16
2010/1/1,49,0,0,61,41
2010/1/2,50,0,0,77,39
2010/1/3,64,0,0,85,34
2010/1/4,48,0,0,82,25
2010/1/5,51,0,0,60,43
2010/1/6,68,0,0,79,50
2010/1/7,63,0,0,75,49
2010/1/8,24,0,0,67,13
2010/1/9,18,0,0,32,13
2010/1/10,36,0,0,66,14
2010/1/11,53,0,0,80,14
2010/1/12,20,0,0,68,10
2010/1/13,30,0,0,63,15
2010/1/14,61,0,0,78,30
2010/1/15,37,0,0,60,11
2010/1/16,24,0,0,35,15
2010/1/17,47,0,0,81,25
2010/1/18,47,0,0,83,20
2010/1/19,56,0,0,89,30
2010/1/20,52,0,0,68,37
2010/1/21,44,0,0,68,22
2010/1/22,45,0,0,84,20
2010/1/23,38,0,0,53,25
2010/1/24,39,0,0,55,24
2010/1/25,35,0,0,57,23
2010/1/26,50,0,0,70,27
2010/1/27,58,0,0,89,36
2010/1/28,83,0.06,0,88,67
2010/1/29,68,0.07,0,86,30
2010/1/30,63,0.07,0,85,24
2010/1/31,53,0.07,0,85,27
2010/2/1,43,0,0,54,32
2010/2/2,32,0,0,59,12
2010/2/3,37,0,0,64,19
2010/2/4,53,0.02,0,89,25
2010/2/5,42,0.02,0,77,27
2010/2/6,51,0.02,0,75,35
2010/2/7,82,0.02,0,88,73
2010/2/8,79,0.02,0,87,70
2010/2/9,53,0.04,0,79,23
2010/2/10,40,0.04,0,47,32
2010/2/11,39,0.04,0,60,27
2010/2/12,48,0.04,0,63,35
2010/2/13,45,0.04,0,57,33
2010/2/14,63,0.04,0,85,37
2010/2/15,42,0.04,0,65,16
2010/2/16,52,0.04,0,78,25
2010/2/17,49,0.04,0,81,27
2010/2/18,81,0.04,0,89,51
2010/2/19,81,0.15,0,86,69
2010/2/20,82,0.19,0,85,73
2010/2/21,80,0.19,0,83,70
2010/2/22,70,0.32,0,80,41
2010/2/23,40,0.35,0,76,25
2010/2/24,31,0.36,0,50,19
2010/2/25,62,0.37,0,88,36
2010/2/26,54,0.41,0,88,21
2010/2/27,42,0.41,0,69,11
2010/2/28,79,0.5,0,89,60
2010/3/1,74,0.02,0,90,40
2010/3/2,58,0.02,0,86,21
2010/3/3,56,0.02,0,84,23
2010/3/4,63,0.02,0,83,32
2010/3/5,59,0.02,0,85,34
2010/3/6,54,0.02,0,87,27
2010/3/7,58,0.02,0,88,15
2010/3/8,61,0.02,0,78,41
2010/3/9,51,0.02,0,86,26
2010/3/10,73,0.03,0,88,32
2010/3/11,46,0.03,0,79,28
2010/3/12,30,0.03,0,54,17
2010/3/13,42,0.03,0,70,14
2010/3/14,79,0.03,0,90,56
2010/3/15,69,0.06,0,91,38
2010/3/16,46,0.06,0,84,11
2010/3/17,30,0.06,0,61,9
2010/3/18,51,0.06,0,88,12
2010/3/19,85,0.06,0,89,80
2010/3/20,52,0.26,0,80,24
2010/3/21,24,0.26,0,34,15
2010/3/22,30,0.26,0,64,19
2010/3/23,84,0.37,0,91,62
2010/3/24,79,0.68,0,89,54
2010/3/25,47,0.69,0,86,15
2010/3/26,57,0.73,0,88,30
2010/3/27,49,0.73,0,79,29
2010/3/28,27,0.73,0,43,14
2010/3/29,20,0.73,0,23,16
2010/3/30,19,0.73,0,24,14
2010/3/31,48,0.73,0,85,19
2010/4/1,70,0.02,0,91,42
2010/4/2,36,0.02,0,47,27
2010/4/3,56,0.05,0,91,35
2010/4/4,55,0.09,0,91,27
2010/4/5,60,0.14,0,91,35
2010/4/6,55,0.15,0,91,27
2010/4/7,63,0.2,0,86,35
2010/4/8,30,0.2,0,49,18
2010/4/9,28,0.2,0,52,15
2010/4/10,63,0.2,0,86,41
2010/4/11,51,0.2,0,89,10
2010/4/12,42,0.2,0,73,15
2010/4/13,51,0.2,0,83,21
2010/4/14,35,0.2,0,61,15
2010/4/15,50,0.2,0,80,28
2010/4/16,71,0.2,0,84,51
2010/4/17,82,0.31,0,92,53
2010/4/18,62,0.32,0,94,13
2010/4/19,51,0.32,0,83,15
2010/4/20,67,0.33,0,87,18
2010/4/21,76,0.72,0,92,49
2010/4/22,82,1.12,0,93,49
2010/4/23,90,1.43,0,94,76
2010/4/24,55,1.86,0,89,26
2010/4/25,56,1.86,0,91,33
2010/4/26,68,1.97,0,91,31
2010/4/27,48,1.97,0,91,12
2010/4/28,37,2.18,0,90,19
2010/4/29,63,2.46,0,94,30
2010/4/30,50,2.46,0,87,35
2010/5/1,52,0,0,71,28
2010/5/2,71,0.14,0,90,45
2010/5/3,49,0.2,0,92,32
2010/5/4,30,0.2,0,41,20
2010/5/5,34,0.2,0,65,22
2010/5/6,62,0.2,0,83,23
2010/5/8,55,0.2,0,81,33
2010/5/9,51,0.2,0,87,12
2010/5/10,49,0.2,0,76,17
2010/5/11,90,0.22,0,94,71
2010/5/12,89,0.65,0,93,78
2010/5/13,84,1.05,0,92,65
2010/5/14,85,1.38,0,93,50
2010/5/15,72,1.49,0,94,42
2010/5/16,50,1.49,0,80,20
2010/5/17,57,1.49,0,90,17
2010/5/18,69,1.69,0,88,28
2010/5/19,50,1.69,0,76,37
2010/5/20,63,1.69,0,91,21
2010/5/21,69,1.69,0,94,43
2010/5/22,29,1.69,0,84,13
2010/5/23,55,1.69,0,83,36
2010/5/24,51,1.69,0,92,19
2010/5/25,40,1.69,0,75,28
2010/5/26,67,1.69,0,90,25
2010/5/27,58,1.69,0,93,22
2010/5/28,37,1.69,0,73,11
2010/5/29,41,1.7,0,80,10
2010/5/30,59,1.7,0,88,34
2010/5/31,44,1.7,0,83,11
2010/6/1,40,0,0,75,14
2010/6/2,56,0,0,84,29
2010/6/3,48,0,0,74,28
2010/6/4,43,0,0,80,22
2010/6/5,38,0,0,64,27
2010/6/6,59,0.14,0,91,19
2010/6/7,50,0.19,0,91,13
2010/6/8,71,0.21,0,91,40
2010/6/9,71,0.22,0,94,37
2010/6/10,59,0.24,0,92,20
2010/6/11,79,0.78,0,94,50
2010/6/12,92,1.27,0,94,87
2010/6/13,90,1.95,0,94,72
2010/6/14,71,1.95,0,94,36
2010/6/15,42,1.95,0,68,24
2010/6/16,50,1.95,0,87,19
2010/6/17,28,1.95,0,69,11
2010/6/18,44,1.95,0,75,9
2010/6/19,66,1.95,0,89,41
2010/6/20,64,1.95,0,88,12
2010/6/21,47,1.95,0,90,9
2010/6/22,35,1.95,0,80,7
2010/6/23,48,1.95,0,68,33
2010/6/24,46,1.95,0,90,10
2010/6/25,32,1.95,0,69,10
2010/6/26,38,1.95,0,62,22
2010/6/27,65,2.15,0,92,45
2010/6/28,58,2.16,0,95,20
2010/6/29,46,2.16,0,84,22
2010/6/30,44,2.16,0,80,20
2010/7/1,47,0.16,0,86,19
2010/7/2,61,0.16,0,92,27
2010/7/3,40,0.16,0,84,11
2010/7/4,72,0.27,0,89,51
2010/7/5,42,0.27,0,90,16
2010/7/6,51,0.35,0,90,17
2010/7/7,87,0.96,0,92,69
2010/7/8,81,1.07,0,94,63
2010/7/9,67,1.07,0,94,35
2010/7/10,53,1.07,0,89,20
2010/7/11,46,1.07,0,80,20
2010/7/12,35,1.07,0,56,19
2010/7/13,31,1.07,0,47,17
2010/7/14,40,1.13,0,71,21
2010/7/15,42,1.13,0,86,10
2010/7/16,29,1.13,0,69,7
2010/7/17,34,1.13,0,61,11
2010/7/18,44,1.13,0,75,20
2010/7/19,50,1.14,0,79,16
2010/7/20,66,1.14,0,85,40
2010/7/22,54,1.16,0,85,24
2010/7/23,41,1.16,0,81,13
2010/7/24,61,1.16,0,82,42
2010/7/25,60,1.16,0,90,35
2010/7/26,43,1.16,0,82,17
2010/7/27,50,1.2,0,81,21
2010/7/28,74,1.25,0,90,43
2010/7/29,70,2.41,0,94,34
2010/7/30,73,2.43,0,94,38
2010/7/31,67,2.43,0,94,39
2010/8/1,72,0.53,0,92,35
2010/8/2,78,0.64,0,92,41
2010/8/3,70,0.67,0,93,38
2010/8/4,73,0.76,0,86,42
2010/8/5,73,0.8,0,94,38
2010/8/6,60,0.83,0,94,26
2010/8/7,49,0.83,0,84,21
2010/8/8,53,0.84,0,87,23
2010/8/9,69,0.85,0,86,43
2010/8/10,50,0.86,0,93,16
2010/8/11,44,0.86,0,75,15
2010/8/12,46,0.87,0,78,20
2010/8/13,39,0.87,0,81,13
2010/8/14,56,0.87,0,75,36
2010/8/15,65,0.87,0,85,47
2010/8/16,65,0.89,0,94,26
2010/8/17,53,0.9,0,94,16
2010/8/18,38,0.9,0,69,13
2010/8/19,53,1.06,0,89,41
2010/8/20,41,1.06,0,60,22
2010/8/21,43,1.06,0,78,16
2010/8/22,36,1.06,0,70,14
2010/8/23,43,1.06,0,68,24
2010/8/24,60,1.06,0,85,45
2010/8/25,53,1.06,0,90,11
2010/8/26,39,1.06,0,77,12
2010/8/27,32,1.06,0,64,13
2010/8/28,39,1.09,0,79,19
2010/8/29,29,1.09,0,62,16
2010/8/30,36,1.09,0,62,17
2010/8/31,49,1.09,0,71,32
2010/9/1,41,0,0,87,13
2010/9/2,48,0,0,62,35
2010/9/3,44,0,0,85,20
2010/9/4,31,0,0,66,11
2010/9/5,21,0,0,38,10
2010/9/6,24,0,0,57,6
2010/9/7,27,0,0,58,8
2010/9/8,49,0.15,0,85,24
2010/9/9,49,0.16,0,93,16
2010/9/10,28,0.16,0,45,18
2010/9/11,24,0.16,0,45,9
2010/9/12,22,0.16,0,52,10
2010/9/13,31,0.16,0,63,11
2010/9/14,29,0.16,0,68,8
2010/9/15,28,0.16,0,50,8
2010/9/16,37,0.16,0,81,10
2010/9/17,29,0.16,0,61,9
2010/9/18,40,0.16,0,70,8
2010/9/19,34,0.16,0,76,5
2010/9/20,31,0.17,0,57,18
2010/9/21,50,0.17,0,84,36
2010/9/22,51,0.17,0,84,27
2010/9/24,23,0.17,0,32,13
2010/9/25,24,0.17,0,57,14
2010/9/26,40,0.17,0,78,12
2010/9/27,30,0.17,0,58,12
2010/9/28,38,0.17,0,80,11
2010/9/29,25,0.17,0,57,11
2010/9/30,54,0.17,0,87,22
2010/10/1,46,0,0,77,16
2010/10/2,57,0,0,86,30
2010/10/3,41,0,0,80,12
2010/10/4,38,0,0,64,19
2010/10/5,46,0,0,79,21
2010/10/6,74,0,0,89,44
2010/10/7,52,0,0,90,19
2010/10/8,47,0.02,0,82,21
2010/10/9,40,0.02,0,50,27
2010/10/10,52,0.02,0,80,36
2010/10/11,54,0.03,0,86,19
2010/10/12,78,0.21,0,90,58
2010/10/13,73,0.22,0,93,31
2010/10/14,52,0.23,0,92,15
2010/10/15,29,0.23,0,64,15
2010/10/16,42,0.23,0,80,24
2010/10/17,55,0.23,0,87,20
2010/10/18,74,0.48,0,93,50
2010/10/19,66,0.49,0,94,24
2010/10/20,50,0.49,0,86,21
2010/10/21,59,0.49,0,88,22
2010/10/22,86,0.64,0,93,70
2010/10/23,57,0.64,0,93,40
2010/10/24,54,0.64,0,68,44
2010/10/25,62,1,0,91,34
2010/10/26,50,1,0,86,31
2010/10/27,37,1,0,50,25
2010/10/28,23,1,0,49,7
2010/10/29,22,1,0,30,10
2010/10/30,29,1,0,56,14
2010/10/31,51,1.06,0,88,31
2010/11/1,47,0,0,75,26
2010/11/2,47,0,0,76,22
2010/11/3,65,0,0,89,38
2010/11/4,57,0,0,91,17
2010/11/5,30,0,0,59,18
2010/11/6,28,0,0,59,13
2010/11/7,43,0,0,66,24
2010/11/8,29,0,0,60,15
2010/11/9,61,0.01,0,85,40
2010/11/10,54,0.01,0,88,26
2010/11/11,86,0.05,0,89,78
2010/11/12,56,0.07,0,87,21
2010/11/13,60,0.07,0,82,33
2010/11/14,49,0.07,0,85,36
2010/11/15,60,0.07,0,82,31
2010/11/16,63,0.07,0,91,45
2010/11/17,44,0.11,0,63,28
2010/11/18,22,0.11,0,28,18
2010/11/19,18,0.11,0,33,12
2010/11/20,19,0.11,0,43,13
2010/11/21,64,0.14,0,89,36
2010/11/22,51,0.14,0,85,32
2010/11/23,32,0.14,0,57,15
2010/11/24,47,0.14,0,84,21
2010/11/25,26,0.14,0,35,17
2010/11/26,40,0.14,0,48,31
2010/11/27,25,0.14,0,39,15
2010/11/28,35,0.14,0,76,17
2010/11/29,37,0.14,0,51,28
2010/11/30,30,0.14,0,47,15
2010/12/2,39,0,0,58,28
2010/12/3,31,0,0,41,28
2010/12/4,62,0,0,89,28
2010/12/5,67,0,0,86,45
2010/12/6,62,0,0,87,27
2010/12/7,40,0,0,60,23
2010/12/8,26,0,0,41,15
2010/12/9,37,0,0,57,25
2010/12/10,47,0,0,85,32
2010/12/11,41,0,0,57,31
2010/12/12,50,0,0,66,31
2010/12/13,27,0,0,42,16
2010/12/14,26,0,0,41,18
2010/12/15,55,0.01,0,88,27
2010/12/16,62,0.01,0,84,33
2010/12/17,73,0.01,0,83,53
2010/12/18,61,0.01,0,83,40
2010/12/19,71,0.13,0,93,52
2010/12/20,83,0.42,0,92,54
2010/12/21,79,0.49,0,87,54
2010/12/22,84,0.57,0,90,68
2010/12/23,71,0.57,0,92,44
2010/12/24,80,0.58,0,89,57
2010/12/25,63,0.58,0,86,17
2010/12/26,40,0.58,0,77,15
2010/12/27,34,0.58,0,50,24
2010/12/28,28,0.58,0,51,17
2010/12/29,37,0.58,0,50,15
2010/12/30,71,0.58,0,85,44
2010/12/31,53,0.58,0,76,34
2011/1/1,37,0,0,46,30
2011/1/2,37,0,0,55,24
2011/1/3,49,0,0,82,25
2011/1/4,37,0,0,47,23
2011/1/5,44,0,0,51,35
2011/1/6,41,0,0,48,31
2011/1/7,47,0,0,76,29
2011/1/8,46,0,0,59,30
2011/1/9,79,0,0,87,60
2011/1/10,63,0.05,0,78,40
2011/1/11,37,0.05,0,54,22
2011/1/12,45,0.05,0,64,25
2011/1/13,48,0.05,0,59,40
2011/1/14,42,0.05,0,53,27
2011/1/15,44,0.05,0,51,34
2011/1/16,50,0.05,0,71,42
2011/1/17,57,0.11,0,82,34
2011/1/18,44,0.11,0,71,28
2011/1/19,67,0.11,0,85,31
2011/1/20,55,0.11,0,81,24
2011/1/21,37,0.11,0,63,21
2011/1/22,52,0.11,0,83,32
2011/1/23,33,0.11,0,50,22
2011/1/24,37,0.11,0,55,19
2011/1/25,40,0.11,0,76,11
2011/1/26,45,0.11,0,78,23
2011/1/27,30,0.11,0,41,21
2011/1/28,32,0.11,0,58,19
2011/1/29,39,0.11,0,72,23
2011/1/30,40,0.11,0,79,20
2011/1/31,72,0.11,0,86,33
2011/2/1,63,0,0,70,52
2011/2/2,60,0.01,0,73,35
2011/2/3,69,0.04,0,81,51
2011/2/4,62,0.05,0,87,44
2011/2/5,70,0.08,0,88,46
2011/2/6,65,0.16,0,85,32
2011/2/7,65,0.16,0,88,41
2011/2/8,72,0.16,0,79,61
2011/2/9,48,0.17,0,70,26
2011/2/10,35,0.17,0,43,28
2011/2/11,40,0.17,0,45,33
2011/2/12,30,0.18,0,43,18
2011/2/13,20,0.18,0,34,14
2011/2/14,32,0.18,0,68,10
2011/2/15,19,0.18,0,36,10
2011/2/16,22,0.18,0,37,14
2011/2/17,61,0.18,0,86,27
2011/2/18,55,0.18,0,83,16
2011/2/19,47,0.18,0,88,24
2011/2/20,45,0.18,0,92,28
2011/2/21,36,0.18,0,46,28
2011/2/22,24,0.18,0,37,12
